EvseID,ChargingStationId,Accessibility,GeoCoordinates,City,Country,PostalCode,Street,ParkingSpot,ParkingFacility,DynamicInfoAvailable,IsOpen24Hours,LastUpdate,MaxCapacity,DynamicPowerLevel,EnergySource,ChargingFacility_power,ChargingFacility_powertype
CH*ECUES5EVFDGKTQJWR7PDBUNZ4QLCV3,CH*ECUES5EVFDGKTQJWR7PDBUNZ4QLCV3,Free publicly accessible,47.605224 8.686959,Kleinandelfingen,CHE,8451,Gewerbestrasse 7,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEVZCSHNNXD3C5PXKPAL7RADKX9Q,CH*ECUEVZCSHNNXD3C5PXKPAL7RADKX9Q,Free publicly accessible,47.229177 7.653447,Wangen an der Aare,CHE,3380,Buchsistrasse 4,,False,auto,True,,0.0,False,,11.0,AC_3_PHASE
CH*ECUEV2LESPHL8KY87R8PXTRVJ4JLFQ,CH*ECUEV2LESPHL8KY87R8PXTRVJ4JLFQ,Free publicly accessible,47.056582 8.090985,Werthenstein,CHE,6106,Seminarstrasse 1,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEPZ75TY3RSZXQYPMSGEVEHW8LMQ,CH*ECUEPZ75TY3RSZXQYPMSGEVEHW8LMQ,Free publicly accessible,47.080877 8.123588,Ruswil,CHE,6017,Bäremattweg 1,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEV5BVH6CRZWPLWBCSYPLUMZEB6S,CH*ECUEV5BVH6CRZWPLWBCSYPLUMZEB6S,Free publicly accessible,46.82821 6.940417,Payerne,CHE,1530,Rte de Neuchâtel 8,,False,auto,True,,0.0,False,,11.0,AC_3_PHASE
CH*ECUEH6RSBXJ4J4M9C4M6GE8B3JKW2Z,CH*ECUEH6RSBXJ4J4M9C4M6GE8B3JKW2Z,Free publicly accessible,47.207537 7.51909,Solothurn,CHE,4500,Eibenweg 1,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEY98BJMSYL5GP227WRKR7PSZ2X2,CH*ECUEY98BJMSYL5GP227WRKR7PSZ2X2,Free publicly accessible,47.396169 8.46716,Schlieren,CHE,8952,Zürcherstrasse 145,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEG6RB2RR7PQUUYEZTWCTVL63TE2,CH*ECUEG6RB2RR7PQUUYEZTWCTVL63TE2,Free publicly accessible,47.128046 9.488759,Sevelen,CHE,9475,Calandastrasse 8,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUECJR8HHDAZUVUW5ZD98ULW2DL63,CH*ECUECJR8HHDAZUVUW5ZD98ULW2DL63,Free publicly accessible,47.438545 8.465262,Regensdorf,CHE,8105,Riedthofstrasse 122,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUE3RWA3SJJNCVJ5A5EXQVRBAZDE3,CH*ECUE3RWA3SJJNCVJ5A5EXQVRBAZDE3,Free publicly accessible,47.057821 8.30953,Luzern,CHE,6004,Zürichstrasse 35,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEY2LLV7QCPUTQWNNYXSQWMRJCVA,CH*ECUEY2LLV7QCPUTQWNNYXSQWMRJCVA,Free publicly accessible,47.458404 8.407476,Otelfingen,CHE,8112,Harbernstrasse 2,,False,auto,True,,0.0,False,,7.4,AC_3_PHASE
CH*ECUEXZB2W6VLAPP9YVH6524K2MQCLW,CH*ECUEXZB2W6VLAPP9YVH6524K2MQCLW,Free publicly accessible,46.965324 8.329607,Stansstad,CHE,6362,Rotzloch 10,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUE6TJHDDHLZZ5F2FNGDEPKN2D8FW,CH*ECUE6TJHDDHLZZ5F2FNGDEPKN2D8FW,Free publicly accessible,46.752844 8.073264,Hofstetten bei Brienz,CHE,3858,Rüttiweg 2,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEZCY7JN9WNJUUZ78Y3TXMDKG4D3,CH*ECUEZCY7JN9WNJUUZ78Y3TXMDKG4D3,Free publicly accessible,46.967945 8.351147,Stans,CHE,6370,Hansmatt 30,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEKBD3MJ47SR5JWRVXM2YWC9WEBA,CH*ECUEKBD3MJ47SR5JWRVXM2YWC9WEBA,Free publicly accessible,47.712774 10.819809,Lechbruck am See,CHE,86983,Via Claudia 6,,False,auto,True,,0.0,False,,0.0,AC_3_PHASE
CH*ECUE6S7KA8Z29QFT3A8WEKJS6BN7J3,CH*ECUE6S7KA8Z29QFT3A8WEKJS6BN7J3,Free publicly accessible,47.350246 8.048707,Oberentfelden,CHE,5036,Muhenstrasse 58,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEE4LJLSYSEKB2MDDXEMDYAG2TZS,CH*ECUEE4LJLSYSEKB2MDDXEMDYAG2TZS,Free publicly accessible,46.309494 7.058826,Ollon,CHE,1884,Rte de la Résidence 51,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEJZKV4FPV23YFE9WYWB5GJ8RPG2,CH*ECUEJZKV4FPV23YFE9WYWB5GJ8RPG2,Free publicly accessible,47.650937 8.652739,Benken,CHE,8463,Marthalerstrasse 9,,False,auto,True,,0.0,False,,22.0,DC
CH*ECUEG2RJXK3WPKSJMW4RCRHD7JA4JX,CH*ECUEG2RJXK3WPKSJMW4RCRHD7JA4JX,Free publicly accessible,46.904938 6.58272,Fleurier,CHE,2114,Pl. de la Gare 10,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEWWGCNHEY5U67L3DYHQP5SWJ8JZ,CH*ECUEWWGCNHEY5U67L3DYHQP5SWJ8JZ,Free publicly accessible,47.135785 9.041196,Niederurnen,CHE,8867,Im Fennen 1a,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEK4PAP3LF56DUPZ9ZN8E89V23WX,CH*ECUEK4PAP3LF56DUPZ9ZN8E89V23WX,Free publicly accessible,46.963438 7.480607,Ostermundigen,CHE,3072,Milchstrasse 3,,False,auto,True,,0.0,False,,11.0,AC_3_PHASE
CH*ECUEUBAWJETMATN4RSA4QDNF7J595Z,CH*ECUEUBAWJETMATN4RSA4QDNF7J595Z,Free publicly accessible,47.037709 8.292983,Kriens,CHE,6010,Langsägestrasse 2b,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUE5M92R4EXBXB4Y6C4W6WZ5QFL9Z,CH*ECUE5M92R4EXBXB4Y6C4W6WZ5QFL9Z,Free publicly accessible,47.173031 8.351102,Abtwil AG,CHE,5646,Altchileweg 2,,False,auto,True,,0.0,False,,11.0,AC_3_PHASE
CH*ECUEV3SX96GXHJW7D77MK52SMSQZNX,CH*ECUEV3SX96GXHJW7D77MK52SMSQZNX,Free publicly accessible,47.257775 8.242351,Aesch,CHE,6287,Vorderbui 6,,False,auto,True,,0.0,False,,11.0,AC_3_PHASE
CH*ECUERFGMEMZF4GL2HLE2FJ7FSCT6FS,CH*ECUERFGMEMZF4GL2HLE2FJ7FSCT6FS,Free publicly accessible,46.848212 9.507923,Chur,CHE,7000,Sommeraustrasse 7,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUET8V6LFW3TGF6QB76BL6R9Q28ZQ,CH*ECUET8V6LFW3TGF6QB76BL6R9Q28ZQ,Free publicly accessible,47.132922 8.31809,Eschenbach,CHE,6274,Lindenfeldstrasse 9,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
